x,y,z,th,ds
0.00344224027830637,-1.1939448317958166,0.0,0,0
0.0034379980475119434,-1.193945497377317,0.0,0,0
0.0034337558520716807,-1.1939461632431272,0.0,0,0
0.003429513692070958,-1.1939468293932336,0.0,0,0
0.003425271567596151,-1.1939474958276264,0.0,0,0
0.003416516046637126,-1.1831303876278927,0.0,0,0
0.00292993810545112,-1.1583800853688162,0.0,0,0
0.0011407770954315402,-1.1357932846196537,0.0,0,0
-0.0032713498689226836,-1.1072507293841745,0.0,0,0
-0.01111122511857359,-1.0741967328183,0.0,0,0
-0.02323994000613932,-1.0417726827175458,0.0,0,0
-0.041881958988419864,-0.9817051296667756,0.0,0,0
-0.06303504528343266,-0.9536548067781426,0.0,0,0
-0.08413383653829591,-0.9362357431537804,0.0,0,0
-0.11068564217680064,-0.9152836916333507,0.0,0,0
-0.1471916891428571,-0.9020218306307014,0.0,0,0
-0.17785953532644233,-0.8840784228985279,0.0,0,0
-0.2091934786741509,-0.8672610677003585,0.0,0,0
-0.2500519091143536,-0.8600081935652888,0.0,0,0
-0.2831020590301233,-0.8456282065102263,0.0,0,0
-0.31593550749409405,-0.831653463632485,0.0,0,0
-0.34920885515632233,-0.8189880614578401,0.0,0,0
-0.3813388121548867,-0.8244680789642671,0.0,0,0
-0.4146581282175687,-0.8120101904066837,0.0,0,0
-0.4481500567601442,-0.7988079050939396,0.0,0,0
-0.4866398793660219,-0.7950592547558853,0.0,0,0
-0.5198478672803784,-0.780623097848036,0.0,0,0
-0.5523288353803031,-0.764340106222104,0.0,0,0
-0.5838631353428162,-0.7687847653399009,0.0,0,0
-0.6151181005208977,-0.7515599845857597,0.0,0,0
-0.6453887450376399,-0.7311579436920316,0.0,0,0
-0.6738407906569746,-0.7083782586968088,0.0,0,0
-0.7007121870019329,-0.6891305394594445,0.0,0,0
-0.7256522281721375,-0.6625416419617326,0.0,0,0
-0.7487975706980802,-0.6342221401848617,0.0,0,0
-0.7739806778795973,-0.6082877179924013,0.0,0,0
-0.7918601446419704,-0.5761142870071883,0.0,0,0
-0.8061945308759021,-0.5420435508907768,0.0,0,0
-0.8123958771372617,-0.5204578254737495,0.0,0,0
-0.8153239778919882,-0.4896093158665189,0.0,0.2912518189265537,51.052148998370726
-0.823949733050326,-0.5054243023854845,0.0,0.0703585854710214,48.10687140615498
-0.823949733050326,-0.5054243023854845,0.0,-0.16093078831996122,48.177499688782156
-0.8317882112889077,-0.5219670444310729,0.0,-0.32806735783580915,56.74635430343197
-0.8349870360451513,-0.5263456044293044,0.0,-0.3272492347489368,59.887979769599966
-0.8337653766563867,-0.5330391383372473,0.0,-0.3287563009650558,57.375091093245096
-0.8338391518216339,-0.5336290079723741,0.0,-0.5203262832508095,22.77739320752501
-0.836872756521281,-0.5365659574633201,0.0,-0.5203262832508095,22.77739320752501
-0.839922405868667,-0.5388793748141314,0.0,-0.5203262832508095,22.77739320752501
-0.8357254261579542,-0.5413965034130336,0.0,-0.5203262832508095,22.77739320752501
-0.8352196078716505,-0.5413995624388687,0.0,-0.5203262832508095,22.77739320752501
-0.8331223336236633,-0.5329956864756253,0.0,-0.5203262832508095,22.77739320752501
-0.8355731696923797,-0.533093849121685,0.0,-0.5203262832508095,22.77739320752501
-0.8347219520612805,-0.5339101411601364,0.0,-0.5203262832508095,22.77739320752501
-0.8352376901023284,-0.5339553405363451,0.0,-0.5203262832508095,22.77739320752501
-0.8352382808600343,-0.5339505567771647,0.0,-0.5203262832508095,22.77739320752501
-0.8152141803454723,-0.5358557090741537,0.0,-0.5203262832508095,22.77739320752501
